algo,impl,N,workers,iter,seconds,pi
dart,threads,200000000,8,2,0.208861,3.141602420
dart,threads,200000000,8,3,0.223203,3.141602420
dart,threads,200000000,8,4,0.225312,3.141602420
dart,threads,200000000,8,5,0.205299,3.141602420
dart,threads,200000000,16,1,0.137430,3.141520500
dart,threads,200000000,16,2,0.148918,3.141520500
dart,threads,200000000,16,3,0.135878,3.141520500
dart,threads,200000000,16,4,0.135171,3.141520500
dart,threads,200000000,16,5,0.157137,3.141520500
dart,threads,400000000,1,1,3.085149,3.141689700
dart,threads,400000000,1,2,3.067519,3.141689700
dart,threads,400000000,1,3,1.698053,3.141689700
dart,threads,400000000,1,4,3.065042,3.141689700
dart,threads,400000000,1,5,3.096428,3.141689700
dart,threads,400000000,2,1,1.577429,3.141737310
dart,threads,400000000,2,2,1.595948,3.141737310
dart,threads,400000000,2,3,1.573320,3.141737310
dart,threads,400000000,2,4,1.567516,3.141737310
dart,threads,400000000,2,5,1.571979,3.141737310
dart,threads,400000000,4,1,0.791487,3.141626220
dart,threads,400000000,4,2,0.798180,3.141626220
dart,threads,400000000,4,3,0.801828,3.141626220
dart,threads,400000000,4,4,0.808877,3.141626220
dart,threads,400000000,4,5,0.804750,3.141626220
dart,threads,400000000,8,1,0.410765,3.141604080
dart,threads,400000000,8,2,0.408246,3.141604080
dart,threads,400000000,8,3,0.412540,3.141604080
dart,threads,400000000,8,4,0.406472,3.141604080
dart,threads,400000000,8,5,0.411948,3.141604080
dart,threads,400000000,16,1,0.220343,3.141570210
dart,threads,400000000,16,2,0.227420,3.141570210
dart,threads,400000000,16,3,0.258316,3.141570210
dart,threads,400000000,16,4,0.253510,3.141570210
dart,threads,400000000,16,5,0.223022,3.141570210
dart,threads,800000000,1,1,6.165050,3.141648020
dart,threads,800000000,1,2,4.778247,3.141648020
dart,threads,800000000,1,3,6.189444,3.141648020
dart,threads,800000000,1,4,6.190996,3.141648020
dart,threads,800000000,1,5,6.207829,3.141648020
dart,threads,800000000,2,1,3.104912,3.141723540
dart,threads,800000000,2,2,3.119132,3.141723540
dart,threads,800000000,2,3,3.125426,3.141723540
dart,threads,800000000,2,4,1.724507,3.141723540
dart,threads,800000000,2,5,3.130686,3.141723540
dart,threads,800000000,4,1,1.578156,3.141665650
dart,threads,800000000,4,2,1.589944,3.141665650
dart,threads,800000000,4,3,1.579615,3.141665650
dart,threads,800000000,4,4,1.586158,3.141665650
dart,threads,800000000,4,5,1.604152,3.141665650
dart,threads,800000000,8,1,0.811619,3.141608460
dart,threads,800000000,8,2,0.809553,3.141608460
dart,threads,800000000,8,3,0.809638,3.141608460
dart,threads,800000000,8,4,0.812390,3.141608460
dart,threads,800000000,8,5,0.816019,3.141608460
dart,threads,800000000,16,1,0.576272,3.141604020
dart,threads,800000000,16,2,0.459000,3.141604020
dart,threads,800000000,16,3,0.469574,3.141604020
dart,threads,800000000,16,4,0.448127,3.141604020
dart,threads,800000000,16,5,0.448522,3.141604020
dart,threads,1600000000,1,1,12.444475,3.141599408
dart,threads,1600000000,1,2,10.865576,3.141599408
dart,threads,1600000000,1,3,12.526760,3.141599408
dart,threads,1600000000,1,4,10.929215,3.141599408
dart,threads,1600000000,1,5,12.401014,3.141599408
dart,threads,1600000000,2,1,6.275217,3.141649095
dart,threads,1600000000,2,2,6.239007,3.141649095
dart,threads,1600000000,2,3,4.877372,3.141649095
dart,threads,1600000000,2,4,6.270959,3.141649095
dart,threads,1600000000,2,5,6.244977,3.141649095
dart,threads,1600000000,4,1,3.185788,3.141681043
dart,threads,1600000000,4,2,3.167307,3.141681043
dart,threads,1600000000,4,3,3.158462,3.141681043
dart,threads,1600000000,4,4,3.165068,3.141681043
dart,threads,1600000000,4,5,3.153544,3.141681043
dart,threads,1600000000,8,1,0.179480,3.141626777
dart,threads,1600000000,8,2,1.596957,3.141626777
dart,threads,1600000000,8,3,1.594939,3.141626777
dart,threads,1600000000,8,4,1.587610,3.141626777
dart,threads,1600000000,8,5,1.608569,3.141626777
dart,threads,1600000000,16,1,0.996632,3.141618087
dart,threads,1600000000,16,2,0.988778,3.141618087
dart,threads,1600000000,16,3,0.931283,3.141618087
dart,threads,1600000000,16,4,0.865359,3.141618087
dart,threads,1600000000,16,5,0.910643,3.141618087
dart,fork,20000000,1,1,0.164988,3.141681000
dart,fork,20000000,1,2,0.161712,3.141681000
dart,fork,20000000,1,3,0.163343,3.141681000
dart,fork,20000000,1,4,0.162528,3.141681000
dart,fork,20000000,1,5,0.160850,3.141681000
dart,fork,20000000,2,1,0.086535,3.141923600
dart,fork,20000000,2,2,0.085689,3.141923600
dart,fork,20000000,2,3,0.086930,3.141923600
dart,fork,20000000,2,4,0.084176,3.141923600
dart,fork,20000000,2,5,0.087122,3.141923600
dart,fork,20000000,4,1,0.046641,3.142270600
dart,fork,20000000,4,2,0.047178,3.142270600
dart,fork,20000000,4,3,0.047497,3.142270600
dart,fork,20000000,4,4,0.049169,3.142270600
dart,fork,20000000,4,5,0.048956,3.142270600
dart,fork,20000000,8,1,0.029242,3.141369200
dart,fork,20000000,8,2,0.029992,3.141369200
dart,fork,20000000,8,3,0.029284,3.141369200
dart,fork,20000000,8,4,0.030401,3.141369200
dart,fork,20000000,8,5,0.029715,3.141369200
dart,fork,20000000,16,1,0.028970,3.142072200
dart,fork,20000000,16,2,0.027946,3.142072200
dart,fork,20000000,16,3,0.026294,3.142072200
dart,fork,20000000,16,4,0.029503,3.142072200
dart,fork,20000000,16,5,0.026626,3.142072200
dart,fork,40000000,1,1,0.325490,3.141946200
dart,fork,40000000,1,2,0.312858,3.141946200
dart,fork,40000000,1,3,0.321468,3.141946200
dart,fork,40000000,1,4,0.312823,3.141946200
dart,fork,40000000,1,5,0.318315,3.141946200
dart,fork,40000000,2,1,0.161456,3.142063900
dart,fork,40000000,2,2,0.164339,3.142063900
dart,fork,40000000,2,3,0.168903,3.142063900
dart,fork,40000000,2,4,0.162126,3.142063900
dart,fork,40000000,2,5,0.165518,3.142063900
dart,fork,40000000,4,1,0.088923,3.141963100
dart,fork,40000000,4,2,0.089262,3.141963100
dart,fork,40000000,4,3,0.087708,3.141963100
dart,fork,40000000,4,4,0.087779,3.141963100
dart,fork,40000000,4,5,0.087649,3.141963100
dart,fork,40000000,8,1,0.049529,3.141938700
dart,fork,40000000,8,2,0.051491,3.141938700
dart,fork,40000000,8,3,0.051547,3.141938700
dart,fork,40000000,8,4,0.050186,3.141938700
dart,fork,40000000,8,5,0.050890,3.141938700
dart,fork,40000000,16,1,0.041950,3.141795400
dart,fork,40000000,16,2,0.041944,3.141795400
dart,fork,40000000,16,3,0.033280,3.141795400
dart,fork,40000000,16,4,0.042154,3.141795400
dart,fork,40000000,16,5,0.042823,3.141795400
dart,fork,80000000,1,1,0.628178,3.141640600
dart,fork,80000000,1,2,0.643966,3.141640600
dart,fork,80000000,1,3,0.627286,3.141640600
