algo,impl,N,workers,avg_seconds,avg_pi,runs
needle,omp,20000000,16,0.132885,3.142230717,5
needle,threads,20000000,16,0.103108,3.142230717,5
needle,fork,40000000,1,1.933968,3.141528613,5
needle,omp,40000000,1,1.835013,3.141528613,5
needle,serial,40000000,1,1.936124,3.142009810,5
needle,threads,40000000,1,1.955671,3.141528613,5
needle,fork,40000000,2,0.989339,3.141467425,5
needle,omp,40000000,2,1.099438,3.141467425,5
needle,threads,40000000,2,0.981926,3.141467425,5
needle,fork,40000000,4,0.191941,3.140580469,5
needle,omp,40000000,4,0.485660,3.140580469,5
needle,threads,40000000,4,0.512356,3.140580469,5
needle,fork,40000000,8,0.272575,3.141339136,5
needle,omp,40000000,8,0.257094,3.141339136,5
needle,threads,40000000,8,0.285097,3.141339136,5
needle,fork,40000000,16,0.187260,3.141615464,5
needle,omp,40000000,16,0.172278,3.141615464,5
needle,threads,40000000,16,0.173207,3.141615464,5
needle,fork,80000000,1,3.858237,3.141580304,5
needle,omp,80000000,1,3.557194,3.141580304,5
needle,serial,80000000,1,3.593718,3.141351964,5
needle,threads,80000000,1,3.592291,3.141580304,5
needle,fork,80000000,2,1.647548,3.141027337,5
needle,omp,80000000,2,2.014107,3.141027337,5
needle,threads,80000000,2,1.998624,3.141027337,5
needle,fork,80000000,4,1.020604,3.141101458,5
needle,omp,80000000,4,0.948194,3.141101458,5
needle,threads,80000000,4,1.069093,3.141101458,5
needle,fork,80000000,8,0.520643,3.140579852,5
needle,omp,80000000,8,0.471350,3.140579852,5
needle,threads,80000000,8,0.545135,3.140579852,5
needle,fork,80000000,16,0.349487,3.141473100,5
needle,omp,80000000,16,0.285038,3.141473100,5
needle,threads,80000000,16,0.103014,3.141473100,5
needle,fork,200000000,1,9.342108,3.141641570,5
needle,omp,200000000,1,9.147326,3.141641570,5
needle,serial,200000000,1,9.290461,3.141601252,5
needle,threads,200000000,1,9.383098,3.141641570,5
needle,fork,200000000,2,4.587959,3.141248155,5
needle,omp,200000000,2,4.782676,3.141248155,5
needle,threads,200000000,2,4.633703,3.141248155,5
needle,fork,200000000,4,2.487890,3.141162163,5
needle,omp,200000000,4,2.318076,3.141162163,5
needle,threads,200000000,4,2.490045,3.141162163,5
needle,fork,200000000,8,0.972678,3.141029804,5
needle,omp,200000000,8,1.368877,3.141029804,5
needle,threads,200000000,8,1.277302,3.141029804,5
needle,fork,200000000,16,0.767627,3.141255506,5
needle,omp,200000000,16,0.736507,3.141255506,5
needle,threads,200000000,16,0.729378,3.141255506,5
needle,fork,400000000,1,18.353238,3.141779434,5
needle,omp,400000000,1,18.236654,3.141779434,5
needle,serial,400000000,1,18.333020,3.141679125,5
needle,threads,400000000,1,18.360272,3.141779434,5
needle,fork,400000000,2,9.444493,3.141439003,5
needle,omp,400000000,2,9.453694,3.141439003,5
needle,threads,400000000,2,9.219079,3.141439003,5
needle,fork,400000000,4,4.675354,3.141463255,5
needle,omp,400000000,4,4.816551,3.141463255,5
needle,threads,400000000,4,4.693746,3.141463255,5
needle,fork,400000000,8,2.546905,3.141328108,5
needle,omp,400000000,8,2.324996,3.141328108,5
needle,threads,400000000,8,2.619000,3.141328108,5
needle,fork,400000000,16,1.200550,3.141163001,5
needle,omp,400000000,16,1.490653,3.141163001,5
needle,threads,400000000,16,1.721580,3.141163001,5
needle,fork,800000000,1,36.730524,3.141726663,5
needle,omp,800000000,1,36.840968,3.141726663,5
needle,serial,800000000,1,36.638685,3.141704899,5
needle,threads,800000000,1,36.876135,3.141726663,5
