host,impl,n,threads,elapsed_s,max_rss_kb,ipc,instructions,cycles,cache_misses,cache_refs,task_clock_ms,gflops
DESKTOP-HFUU2OM,openmp_blocked,2048,1,,,14380892476,14380892476,4456021425,130521184,2228757448,1299.71,20.310
DESKTOP-HFUU2OM,openmp_blocked,2048,16,,,14475189619,14475189619,9269514528,366043929,2705652284,4381.21,88.944
DESKTOP-HFUU2OM,openmp_bt,2048,1,,,13678412257,13678412257,12783873533,36922627,2986288790,3216.39,6.645
DESKTOP-HFUU2OM,openmp_bt,2048,16,,,13386699020,13386699020,19129775067,52093724,3770347154,7402.96,36.796
DESKTOP-HFUU2OM,openmp_blocked,4096,16,2.410,525568,,,,,,,81.418
# DESKTOP-HFUU2OM massif peak heap (bytes) n=4096 t=16: 
