impl,size,workers,iter,seconds
openmp_blocked,400,2,10,0.01
openmp_bt,400,4,1,0.01
openmp_blocked,400,4,1,0.01
openmp_bt,400,4,2,0.01
openmp_blocked,400,4,2,0.01
openmp_bt,400,4,3,0.01
openmp_blocked,400,4,3,0.01
openmp_bt,400,4,4,0.01
openmp_blocked,400,4,4,0.01
openmp_bt,400,4,5,0.01
openmp_blocked,400,4,5,0.01
openmp_bt,400,4,6,0.01
openmp_blocked,400,4,6,0.01
openmp_bt,400,4,7,0.01
openmp_blocked,400,4,7,0.01
openmp_bt,400,4,8,0.01
openmp_blocked,400,4,8,0.01
openmp_bt,400,4,9,0.01
openmp_blocked,400,4,9,0.01
openmp_bt,400,4,10,0.01
openmp_blocked,400,4,10,0.01
openmp_bt,400,8,1,0.01
openmp_blocked,400,8,1,0.01
openmp_bt,400,8,2,0.01
openmp_blocked,400,8,2,0.01
openmp_bt,400,8,3,0.01
openmp_blocked,400,8,3,0.01
openmp_bt,400,8,4,0.01
openmp_blocked,400,8,4,0.01
openmp_bt,400,8,5,0.01
openmp_blocked,400,8,5,0.01
openmp_bt,400,8,6,0.01
openmp_blocked,400,8,6,0.01
openmp_bt,400,8,7,0.01
openmp_blocked,400,8,7,0.01
openmp_bt,400,8,8,0.01
openmp_blocked,400,8,8,0.01
openmp_bt,400,8,9,0.01
openmp_blocked,400,8,9,0.01
openmp_bt,400,8,10,0.01
openmp_blocked,400,8,10,0.01
openmp_bt,400,16,1,0.01
openmp_blocked,400,16,1,0.01
openmp_bt,400,16,2,0.01
openmp_blocked,400,16,2,0.01
openmp_bt,400,16,3,0.01
openmp_blocked,400,16,3,0.01
openmp_bt,400,16,4,0.01
openmp_blocked,400,16,4,0.01
openmp_bt,400,16,5,0.01
openmp_blocked,400,16,5,0.01
openmp_bt,400,16,6,0.01
openmp_blocked,400,16,6,0.01
openmp_bt,400,16,7,0.01
openmp_blocked,400,16,7,0.01
openmp_bt,400,16,8,0.01
openmp_blocked,400,16,8,0.01
openmp_bt,400,16,9,0.01
