algo,impl,N,workers,iter,seconds,pi
dart,serial,20000000,1,1,0.444823,3.142378200
dart,serial,20000000,1,2,0.445114,3.142378200
dart,serial,20000000,1,3,0.443162,3.142378200
dart,serial,20000000,1,4,0.444392,3.142378200
dart,serial,20000000,1,5,0.444530,3.142378200
dart,serial,40000000,1,1,0.897620,3.141695600
dart,serial,40000000,1,2,0.897214,3.141695600
dart,serial,40000000,1,3,0.886126,3.141695600
dart,serial,40000000,1,4,0.882052,3.141695600
dart,serial,40000000,1,5,0.880831,3.141695600
dart,serial,80000000,1,1,1.770105,3.141692950
dart,serial,80000000,1,2,1.757903,3.141692950
dart,serial,80000000,1,3,1.753617,3.141692950
dart,serial,80000000,1,4,1.808542,3.141692950
dart,serial,80000000,1,5,1.880556,3.141692950
dart,serial,200000000,1,1,2.641353,3.141720080
dart,serial,200000000,1,2,2.020358,3.141720080
dart,serial,200000000,1,3,1.993198,3.141720080
dart,serial,200000000,1,4,2.587968,3.141720080
dart,serial,200000000,1,5,2.960845,3.141720080
dart,serial,400000000,1,1,4.000773,3.141677990
dart,serial,400000000,1,2,4.017920,3.141677990
dart,serial,400000000,1,3,3.936940,3.141677990
dart,serial,400000000,1,4,4.038723,3.141677990
dart,serial,400000000,1,5,4.008382,3.141677990
dart,serial,800000000,1,1,7.971231,3.141659030
dart,serial,800000000,1,2,8.941858,3.141659030
dart,serial,800000000,1,3,7.969292,3.141659030
dart,serial,800000000,1,4,7.962461,3.141659030
dart,serial,800000000,1,5,8.020244,3.141659030
dart,serial,1600000000,1,1,17.035067,3.141601165
dart,serial,1600000000,1,2,15.996220,3.141601165
dart,serial,1600000000,1,3,16.887986,3.141601165
dart,serial,1600000000,1,4,15.994588,3.141601165
dart,serial,1600000000,1,5,16.829750,3.141601165
dart,serial,3200000000,1,1,32.868564,3.141593760
dart,serial,3200000000,1,2,32.860046,3.141593760
dart,serial,3200000000,1,3,32.797745,3.141593760
dart,serial,3200000000,1,4,32.902005,3.141593760
dart,serial,3200000000,1,5,32.856773,3.141593760
dart,serial,6400000000,1,1,65.743573,3.141598858
dart,serial,6400000000,1,2,65.768799,3.141598858
dart,serial,6400000000,1,3,65.777729,3.141598858
dart,serial,6400000000,1,4,65.440361,3.141598858
dart,serial,6400000000,1,5,65.457919,3.141598858
dart,threads,20000000,1,1,0.143681,3.141681000
dart,threads,20000000,1,2,0.150479,3.141681000
dart,threads,20000000,1,3,0.147566,3.141681000
dart,threads,20000000,1,4,0.147057,3.141681000
dart,threads,20000000,1,5,0.144121,3.141681000
dart,threads,20000000,2,1,0.079390,3.141923600
dart,threads,20000000,2,2,0.079935,3.141923600
dart,threads,20000000,2,3,0.077971,3.141923600
dart,threads,20000000,2,4,0.100451,3.141923600
dart,threads,20000000,2,5,0.079301,3.141923600
