impl,size,workers,iter,seconds
openmp_bt,200,1,1,0.01
openmp_blocked,200,1,1,0.01
openmp_bt,200,1,2,0.01
openmp_blocked,200,1,2,0.01
openmp_bt,200,1,3,0.01
openmp_blocked,200,1,3,0.01
openmp_bt,200,1,4,0.01
openmp_blocked,200,1,4,0.01
openmp_bt,200,1,5,0.01
openmp_blocked,200,1,5,0.01
openmp_bt,200,1,6,0.01
openmp_blocked,200,1,6,0.01
openmp_bt,200,1,7,0.01
openmp_blocked,200,1,7,0.01
openmp_bt,200,1,8,0.01
openmp_blocked,200,1,8,0.01
openmp_bt,200,1,9,0.01
openmp_blocked,200,1,9,0.01
openmp_bt,200,1,10,0.01
openmp_blocked,200,1,10,0.01
openmp_bt,200,2,1,0.01
openmp_blocked,200,2,1,0.01
openmp_bt,200,2,2,0.01
openmp_blocked,200,2,2,0.01
openmp_bt,200,2,3,0.01
openmp_blocked,200,2,3,0.01
openmp_bt,200,2,4,0.01
openmp_blocked,200,2,4,0.01
openmp_bt,200,2,5,0.01
openmp_blocked,200,2,5,0.01
openmp_bt,200,2,6,0.01
openmp_blocked,200,2,6,0.01
openmp_bt,200,2,7,0.01
openmp_blocked,200,2,7,0.01
openmp_bt,200,2,8,0.00
openmp_blocked,200,2,8,0.01
openmp_bt,200,2,9,0.01
openmp_blocked,200,2,9,0.00
openmp_bt,200,2,10,0.01
openmp_blocked,200,2,10,0.01
openmp_bt,200,4,1,0.01
openmp_blocked,200,4,1,0.01
openmp_bt,200,4,2,0.01
openmp_blocked,200,4,2,0.01
openmp_bt,200,4,3,0.01
openmp_blocked,200,4,3,0.01
openmp_bt,200,4,4,0.01
openmp_blocked,200,4,4,0.01
openmp_bt,200,4,5,0.01
openmp_blocked,200,4,5,0.01
openmp_bt,200,4,6,0.01
openmp_blocked,200,4,6,0.01
openmp_bt,200,4,7,0.01
openmp_blocked,200,4,7,0.01
openmp_bt,200,4,8,0.01
openmp_blocked,200,4,8,0.01
openmp_bt,200,4,9,0.01
openmp_blocked,200,4,9,0.00
openmp_bt,200,4,10,0.01
openmp_blocked,200,4,10,0.01
openmp_bt,200,8,1,0.01
openmp_blocked,200,8,1,0.01
openmp_bt,200,8,2,0.00
openmp_blocked,200,8,2,0.01
openmp_bt,200,8,3,0.01
openmp_blocked,200,8,3,0.01
openmp_bt,200,8,4,0.01
openmp_blocked,200,8,4,0.01
openmp_bt,200,8,5,0.01
openmp_blocked,200,8,5,0.01
openmp_bt,200,8,6,0.01
openmp_blocked,200,8,6,0.01
openmp_bt,200,8,7,0.01
openmp_blocked,200,8,7,0.01
openmp_bt,200,8,8,0.01
openmp_blocked,200,8,8,0.01
openmp_bt,200,8,9,0.01
openmp_blocked,200,8,9,0.01
openmp_bt,200,8,10,0.01
openmp_blocked,200,8,10,0.01
openmp_bt,200,16,1,0.01
openmp_blocked,200,16,1,0.01
openmp_bt,200,16,2,0.01
openmp_blocked,200,16,2,0.01
openmp_bt,200,16,3,0.01
openmp_blocked,200,16,3,0.01
openmp_bt,200,16,4,0.01
openmp_blocked,200,16,4,0.01
openmp_bt,200,16,5,0.01
openmp_blocked,200,16,5,0.01
openmp_bt,200,16,6,0.01
openmp_blocked,200,16,6,0.01
openmp_bt,200,16,7,0.01
openmp_blocked,200,16,7,0.01
openmp_bt,200,16,8,0.01
openmp_blocked,200,16,8,0.01
openmp_bt,200,16,9,0.01
openmp_blocked,200,16,9,0.01
openmp_bt,200,16,10,0.01
openmp_blocked,200,16,10,0.01
openmp_bt,200,32,1,0.01
openmp_blocked,200,32,1,0.01
openmp_bt,200,32,2,0.01
openmp_blocked,200,32,2,0.01
openmp_bt,200,32,3,0.01
openmp_blocked,200,32,3,0.02
openmp_bt,200,32,4,0.01
openmp_blocked,200,32,4,0.01
openmp_bt,200,32,5,0.01
openmp_blocked,200,32,5,0.01
openmp_bt,200,32,6,0.01
openmp_blocked,200,32,6,0.01
openmp_bt,200,32,7,0.01
openmp_blocked,200,32,7,0.01
openmp_bt,200,32,8,0.01
openmp_blocked,200,32,8,0.01
openmp_bt,200,32,9,0.01
openmp_blocked,200,32,9,0.01
openmp_bt,200,32,10,0.01
openmp_blocked,200,32,10,0.01
openmp_bt,400,1,1,0.04
openmp_blocked,400,1,1,0.04
openmp_bt,400,1,2,0.04
openmp_blocked,400,1,2,0.04
openmp_bt,400,1,3,0.04
openmp_blocked,400,1,3,0.04
openmp_bt,400,1,4,0.04
openmp_blocked,400,1,4,0.03
openmp_bt,400,1,5,0.04
openmp_blocked,400,1,5,0.04
openmp_bt,400,1,6,0.03
openmp_blocked,400,1,6,0.04
openmp_bt,400,1,7,0.04
openmp_blocked,400,1,7,0.04
openmp_bt,400,1,8,0.03
openmp_blocked,400,1,8,0.04
openmp_bt,400,1,9,0.04
openmp_blocked,400,1,9,0.04
openmp_bt,400,1,10,0.04
openmp_blocked,400,1,10,0.04
openmp_bt,400,2,1,0.03
openmp_blocked,400,2,1,0.03
openmp_bt,400,2,2,0.03
openmp_blocked,400,2,2,0.04
openmp_bt,400,2,3,0.03
openmp_blocked,400,2,3,0.04
openmp_bt,400,2,4,0.03
openmp_blocked,400,2,4,0.03
openmp_bt,400,2,5,0.02
openmp_blocked,400,2,5,0.04
openmp_bt,400,2,6,0.03
openmp_blocked,400,2,6,0.03
openmp_bt,400,2,7,0.03
openmp_blocked,400,2,7,0.03
openmp_bt,400,2,8,0.02
openmp_blocked,400,2,8,0.04
openmp_bt,400,2,9,0.03
openmp_blocked,400,2,9,0.04
openmp_bt,400,2,10,0.03
openmp_blocked,400,2,10,0.04
openmp_bt,400,4,1,0.03
openmp_blocked,400,4,1,0.03
openmp_bt,400,4,2,0.03
openmp_blocked,400,4,2,0.03
openmp_bt,400,4,3,0.02
openmp_blocked,400,4,3,0.03
openmp_bt,400,4,4,0.02
openmp_blocked,400,4,4,0.03
openmp_bt,400,4,5,0.03
openmp_blocked,400,4,5,0.03
openmp_bt,400,4,6,0.03
openmp_blocked,400,4,6,0.03
openmp_bt,400,4,7,0.03
openmp_blocked,400,4,7,0.03
openmp_bt,400,4,8,0.02
openmp_blocked,400,4,8,0.03
openmp_bt,400,4,9,0.03
openmp_blocked,400,4,9,0.03
openmp_bt,400,4,10,0.03
openmp_blocked,400,4,10,0.03
openmp_bt,400,8,1,0.02
openmp_blocked,400,8,1,0.03
openmp_bt,400,8,2,0.02
openmp_blocked,400,8,2,0.03
openmp_bt,400,8,3,0.02
openmp_blocked,400,8,3,0.03
openmp_bt,400,8,4,0.02
openmp_blocked,400,8,4,0.03
openmp_bt,400,8,5,0.02
openmp_blocked,400,8,5,0.03
openmp_bt,400,8,6,0.03
openmp_blocked,400,8,6,0.03
openmp_bt,400,8,7,0.03
openmp_blocked,400,8,7,0.03
openmp_bt,400,8,8,0.02
openmp_blocked,400,8,8,0.03
openmp_bt,400,8,9,0.02
openmp_blocked,400,8,9,0.03
openmp_bt,400,8,10,0.02
openmp_blocked,400,8,10,0.03
openmp_bt,400,16,1,0.02
openmp_blocked,400,16,1,0.03
openmp_bt,400,16,2,0.03
openmp_blocked,400,16,2,0.03
openmp_bt,400,16,3,0.03
openmp_blocked,400,16,3,0.03
openmp_bt,400,16,4,0.02
openmp_blocked,400,16,4,0.03
openmp_bt,400,16,5,0.03
openmp_blocked,400,16,5,0.03
openmp_bt,400,16,6,0.02
openmp_blocked,400,16,6,0.03
openmp_bt,400,16,7,0.03
openmp_blocked,400,16,7,0.03
openmp_bt,400,16,8,0.02
openmp_blocked,400,16,8,0.03
openmp_bt,400,16,9,0.04
openmp_blocked,400,16,9,0.03
openmp_bt,400,16,10,0.02
openmp_blocked,400,16,10,0.03
openmp_bt,400,32,1,0.03
openmp_blocked,400,32,1,0.03
openmp_bt,400,32,2,0.03
openmp_blocked,400,32,2,0.03
openmp_bt,400,32,3,0.03
openmp_blocked,400,32,3,0.04
openmp_bt,400,32,4,0.03
openmp_blocked,400,32,4,0.04
openmp_bt,400,32,5,0.03
openmp_blocked,400,32,5,0.04
openmp_bt,400,32,6,0.04
openmp_blocked,400,32,6,0.04
openmp_bt,400,32,7,0.04
openmp_blocked,400,32,7,0.03
openmp_bt,400,32,8,0.03
openmp_blocked,400,32,8,0.04
openmp_bt,400,32,9,0.02
openmp_blocked,400,32,9,0.04
openmp_bt,400,32,10,0.04
openmp_blocked,400,32,10,0.04
openmp_bt,800,1,1,0.34
openmp_blocked,800,1,1,0.26
openmp_bt,800,1,2,0.34
openmp_blocked,800,1,2,0.27
openmp_bt,800,1,3,0.34
openmp_blocked,800,1,3,0.27
openmp_bt,800,1,4,0.35
openmp_blocked,800,1,4,0.26
openmp_bt,800,1,5,0.32
openmp_blocked,800,1,5,0.27
openmp_bt,800,1,6,0.33
openmp_blocked,800,1,6,0.26
openmp_bt,800,1,7,0.34
openmp_blocked,800,1,7,0.27
openmp_bt,800,1,8,0.33
openmp_blocked,800,1,8,0.27
openmp_bt,800,1,9,0.34
openmp_blocked,800,1,9,0.29
openmp_bt,800,1,10,0.34
openmp_blocked,800,1,10,0.29
openmp_bt,800,2,1,0.25
openmp_blocked,800,2,1,0.19
openmp_bt,800,2,2,0.20
openmp_blocked,800,2,2,0.18
openmp_bt,800,2,3,2.69
openmp_blocked,800,2,3,0.20
openmp_bt,800,2,4,0.21
openmp_blocked,800,2,4,0.19
openmp_bt,800,2,5,0.21
openmp_blocked,800,2,5,0.21
openmp_bt,800,2,6,0.21
openmp_blocked,800,2,6,0.25
openmp_bt,800,2,7,0.23
openmp_blocked,800,2,7,0.20
openmp_bt,800,2,8,0.21
openmp_blocked,800,2,8,0.22
openmp_bt,800,2,9,0.24
openmp_blocked,800,2,9,0.24
openmp_bt,800,2,10,0.22
openmp_blocked,800,2,10,0.21
openmp_bt,800,4,1,0.17
