impl,size,workers,avg_seconds,runs
openmp_blocked,200,1,0.010000,10
openmp_blocked,200,2,0.009000,10
openmp_blocked,200,4,0.009000,10
openmp_blocked,200,8,0.010000,10
openmp_blocked,200,16,0.010000,10
openmp_blocked,200,32,0.011000,10
openmp_blocked,400,1,0.039000,10
openmp_blocked,400,2,0.036000,10
openmp_blocked,400,4,0.030000,10
openmp_blocked,400,8,0.030000,10
openmp_blocked,400,16,0.030000,10
openmp_blocked,400,32,0.037000,10
openmp_blocked,800,1,0.271000,10
openmp_blocked,800,2,0.209000,10
openmp_blocked,800,4,0.168000,10
openmp_blocked,800,8,0.142000,10
openmp_blocked,800,16,0.145000,10
openmp_blocked,800,32,0.152000,10
openmp_blocked,1200,1,1.158000,10
openmp_blocked,1200,2,0.628000,10
openmp_blocked,1200,4,0.505000,10
openmp_blocked,1200,8,0.454000,10
openmp_blocked,1200,16,0.455000,10
openmp_blocked,1200,32,0.463000,10
openmp_blocked,2000,1,4.140000,10
openmp_blocked,2000,2,3.189000,10
openmp_blocked,2000,4,2.712000,10
openmp_blocked,2000,8,1.681000,10
openmp_blocked,2000,16,2.205000,10
openmp_blocked,2000,32,1.674000,10
openmp_blocked,2400,1,7.029000,10
openmp_blocked,2400,2,5.374000,10
openmp_blocked,2400,4,3.865000,10
openmp_blocked,2400,8,3.010000,10
openmp_blocked,2400,16,3.435000,10
openmp_blocked,2400,32,3.380000,10
openmp_blocked,3000,1,14.906000,10
openmp_blocked,3000,2,9.205000,10
openmp_blocked,3000,4,6.883000,10
openmp_blocked,3000,8,5.586000,10
openmp_blocked,3000,16,5.815000,10
openmp_blocked,3000,32,5.299000,10
openmp_blocked,4000,1,31.232000,10
openmp_blocked,4000,2,21.858000,10
openmp_blocked,4000,4,17.060000,10
openmp_blocked,4000,8,14.614000,10
openmp_blocked,4000,16,12.406000,10
openmp_blocked,4000,32,11.772000,10
openmp_bt,200,1,0.010000,10
openmp_bt,200,2,0.009000,10
openmp_bt,200,4,0.010000,10
openmp_bt,200,8,0.009000,10
openmp_bt,200,16,0.010000,10
openmp_bt,200,32,0.010000,10
openmp_bt,400,1,0.038000,10
openmp_bt,400,2,0.028000,10
openmp_bt,400,4,0.027000,10
openmp_bt,400,8,0.022000,10
openmp_bt,400,16,0.026000,10
openmp_bt,400,32,0.032000,10
openmp_bt,800,1,0.337000,10
openmp_bt,800,2,0.467000,10
openmp_bt,800,4,0.156000,10
openmp_bt,800,8,0.127000,10
openmp_bt,800,16,0.133000,10
openmp_bt,800,32,0.132000,10
openmp_bt,1200,1,1.331000,10
openmp_bt,1200,2,0.773000,10
openmp_bt,1200,4,0.540000,10
openmp_bt,1200,8,0.463000,10
openmp_bt,1200,16,0.461000,10
openmp_bt,1200,32,0.470000,10
openmp_bt,2000,1,6.148000,10
openmp_bt,2000,2,3.890000,10
openmp_bt,2000,4,2.790000,10
openmp_bt,2000,8,2.720000,10
openmp_bt,2000,16,2.460000,10
openmp_bt,2000,32,2.816000,10
openmp_bt,2400,1,10.884000,10
openmp_bt,2400,2,6.715000,10
openmp_bt,2400,4,4.674000,10
openmp_bt,2400,8,4.721000,10
openmp_bt,2400,16,4.817000,10
openmp_bt,2400,32,4.521000,10
openmp_bt,3000,1,18.512000,10
openmp_bt,3000,2,12.146000,10
openmp_bt,3000,4,9.703000,10
openmp_bt,3000,8,8.782000,10
openmp_bt,3000,16,9.138000,10
openmp_bt,3000,32,9.179000,10
openmp_bt,4000,1,42.021000,10
openmp_bt,4000,2,27.952000,10
openmp_bt,4000,4,22.396000,10
openmp_bt,4000,8,21.845000,10
openmp_bt,4000,16,24.052000,10
openmp_bt,4000,32,23.542000,10
